Title,Link
Project Aardvark: reimagining AI weather prediction,https://www.turing.ac.uk/blog/project-aardvark-reimagining-ai-weather-prediction
Did you spot a fish? Press the Fish Doorbell,https://visdeurbel.nl/en/
RDNA 4's “Out-of-Order” Memory Accesses,https://chipsandcheese.com/p/rdna-4s-out-of-order-memory-accesses
Quadlet: Running Podman containers under systemd,https://mo8it.com/blog/quadlet/
23andMe files for bankruptcy to sell itself,https://www.reuters.com/business/healthcare-pharmaceuticals/dna-testing-firm-23andme-files-chapter-11-bankruptcy-sell-itself-2025-03-24/
The Vatican's Latinist (2017),https://newcriterion.com/article/the-vaticans-latinist/
A proof checker meant for education,https://jsiek.github.io/deduce/index.html
Building and Publishing Games to Steam Directly from GitHub Actions,https://nullonerror.org/2025/03/23/building-and-publishing-games-to-steam-directly-from-gitHub-actions/
"A USB Interface to the ""Mother of All Demos"" Keyset",https://www.righto.com/2025/03/mother-of-all-demos-usb-keyset-interface.html
Move on to ESM-Only,https://antfu.me/posts/move-on-to-esm-only
The Mystery of the Oldest Writing System Remained Unsolved Until 1856,https://www.smithsonianmag.com/history/mystery-worlds-oldest-writing-system-remained-unsolved-until-four-scholars-raced-decipher-it-180985954/
Aiter: AI Tensor Engine for ROCm,https://rocm.blogs.amd.com/software-tools-optimization/aiter:-ai-tensor-engine-for-rocm™/README.html
The SeL4 Microkernel: An Introduction [pdf],https://sel4.systems/About/seL4-whitepaper.pdf
Show HN: I built website for sharing Drum Patterns,http://drumpatterns.onether.com
First Known Photographs of Living Specimens,https://www.inaturalist.org/projects/first-known-photographs-of-living-specimens
You need to know about bootc,https://sean.thrailkill.cloud/posts/you-need-to-know-about-bootc/
Supply Chain Attacks on Linux Distributions – Fedora Pagure,https://fenrisk.com/pagure
Play the Virtual Organ from Arp Schnitger,https://www.orgelstadt-hamburg.de/play-arp/
Shift-to-Middle Array: A Faster Alternative to Std:Deque?,https://github.com/attilatorda/Shift-To-Middle_Array
Improving recommendation systems and search in the age of LLMs,https://eugeneyan.com/writing/recsys-llm/
LangManus: An Open-Source Manus Agent with LangChain + LangGraph,https://github.com/langmanus/langmanus
BeeFormer: CF and CBF hybrid approach for recommendation systems,https://github.com/recombee/beeformer
Show HN: My iOS app to practice sight reading (10 years in the App Store),https://apps.apple.com/us/app/notes-sight-reading-trainer/id874386416
"Total lunar eclipse over Teide crater, Tenerife – a project with many obstacles",https://lrtimelapse.com/news/total-lunar-eclipse-over-teide-crater-tenerife/
Spaghetti science: What pasta reveals about the universe,https://www.bbc.com/future/article/20250319-spaghetti-science-what-pasta-reveals-about-the-universe
Andromeda XXXV: The Faintest Dwarf Satellite of the Andromeda Galaxy,https://iopscience.iop.org/article/10.3847/2041-8213/adb433
Technicalities of Homeworld 2 Backgrounds,https://simonschreibt.de/gat/homeworld-2-backgrounds/
argp: GNU-style command line argument parser for Go,https://github.com/tdewolff/argp
63 Chinese Cuisines: The Complete Guide (2024),https://chinesecookingdemystified.substack.com/p/63-chinese-cuisines-the-complete
The Worst Programmer I Know (2023),https://dannorth.net/the-worst-programmer/
